Deletion size,Max growth rate,Min production rate,Deleted genes,,,
4,0.323119524575149,0.0255109822734164,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_20318,PHATRDRAFT_21970
4,0.323119524575254,0.0255109822732303,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_38946,PHATRDRAFT_28181
4,0.323119524575149,0.0255109822734164,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_21970,YP_874486_AT1
4,0.323119524575596,0.0255109822735815,PHATRDRAFT_54015,PHATRDRAFT_35691,PHATRDRAFT_51970,PHATRDRAFT_28181
4,0.323119524575373,0.0255109822735214,PHATRDRAFT_54015,PHATRDRAFT_38085,PHATRDRAFT_21970,PHATRDRAFT_51970
4,0.323119524575149,0.0255109822734164,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_47293,PHATRDRAFT_21970
4,0.323119524575149,0.0255109822734164,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_20318,PHATRDRAFT_21970
4,0.323119524575374,0.0255109822736163,PHATRDRAFT_54015,PHATRDRAFT_23723,PHATRDRAFT_28181,YP_874486_AT1
4,0.323119524575149,0.0255109822734164,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_38085,PHATRDRAFT_21970
4,0.323119524575374,0.0255109822736163,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_28181,YP_874486_AT1
4,0.323119524575149,0.0255109822734164,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_35691,PHATRDRAFT_21970
4,0.323119524575374,0.0255109822736163,PHATRDRAFT_54015,PHATRDRAFT_11319,PHATRDRAFT_47293,PHATRDRAFT_28181
4,0.323119524575681,0.0255109822735581,PHATRDRAFT_54015,PHATRDRAFT_35580,PHATRDRAFT_28181,YP_874486_AT1
4,0.323119524575373,0.0255109822735253,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_38085,PHATRDRAFT_21970
4,0.323119524575605,0.0255109822735445,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_12331,PHATRDRAFT_21970
4,0.323119524575373,0.0255109822735253,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_47293,PHATRDRAFT_21970
4,0.323119524575374,0.0255109822736163,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_28181,YP_874486_AT1
4,0.323119524575374,0.0255109822735425,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_35691,PHATRDRAFT_28181
4,0.323119524575149,0.0255109822734164,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_38946,PHATRDRAFT_21970
