Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
2,0.333425760133007,0.0457359638643758,PHATRDRAFT_36821,PHATRDRAFT_859,,,
2,0.333425760134156,0.0457359638645335,PHATRDRAFT_36821,PHATRDRAFT_20310,,,
2,0.333425760134071,0.0457359638645218,PHATRDRAFT_36821,PHATRDRAFT_48078,,,
2,0.35960670777573,0.0322056617015206,PHATRDRAFT_10454,PHATRDRAFT_859,,,
2,0.359606707775733,0.0322056617015208,PHATRDRAFT_10454,PHATRDRAFT_20310,,,
2,0.35960670777562,0.0311381628356785,PHATRDRAFT_30145,PHATRDRAFT_36821,,,
2,0.359606707775623,0.0311381628356826,PHATRDRAFT_26290,PHATRDRAFT_36821,,,
2,0.359606707775731,0.0200796364514706,PHATRDRAFT_26290,PHATRDRAFT_10454,,,
3,0.359606707775732,0.0236448921969019,PHATRDRAFT_10454,PHATRDRAFT_36821,PHATRDRAFT_18064,,
4,0.294785893302731,0.0489341531128724,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,
4,0.328145735107927,0.046172987091364,PHATRDRAFT_26290,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,
4,0.35960670777562,0.0311381628356715,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_36821,PHATRDRAFT_31436,
4,0.359606707775787,0.0220707141631793,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_859,PHATRDRAFT_10693,
4,0.359606707775738,0.0129761952256408,PHATRDRAFT_30145,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,
5,0.294785893302793,0.0489341531128828,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_25932,PHATRDRAFT_11014,PHATRDRAFT_10693
5,0.29478589330415,0.048934153113108,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_10693
